Frequency Band,600,600,600,600,600,600,600,700,700,700,700,700,700,700,850,850,850,850,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2300,2600,2600,2600,2600,2600,2600,2600,2500,2500,2500,2500,2500,2500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3650
3GPP Band,B71,B71,B71,B71,B71,B71,B71,B12,B12,B12,B29,B29,B13,B13,B5,B5,B5,B5,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B4,B4,B4,B4,B4,B4,B4,B4,B4,B4,B66,B30,B7,B7,B7,B7,B7,B7,B7,B38,B38,B38,B38,B38,B38,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78,B78
Block,A,B,C,D,E,F,G,A,B,C,D,E,C1,C2,A,B,A2,B2,A1,A2,A3,D,B1,B2,B3,E,F,C1,C2,C3,G,A,B1,B2,C,D,E,F,GHI,J1,J2,A,A,A,B,C,D,E,F,G,GB1,H1,H2,I1,I2,GB2,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T,U,V,
Start (UL),663,668,673,678,683,688,693,698,704,710,,,746,751,824,835,845,846.5,1850,1855,1860,1865,1870,1875,1880,1885,1890,1895,1900,1905,1910,1710,1720,1725,1730,1735,1740,1745,1755,1770,1775,2000,2305,2500,2510,2520,2530,2540,2550,2560,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre (UL),665.5,670.5,675.5,680.5,685.5,690.5,695.5,701,707,713,,,748.5,753.5,829.5,840,845.75,847.75,1852.5,1857.5,1862.5,1867.5,1872.5,1877.5,1882.5,1887.5,1892.5,1897.5,1902.5,1907.5,1912.5,1715,1722.5,1727.5,1732.5,1737.5,1742.5,1750,1762.5,1772.5,1777.5,2010,2312.5,2505,2515,2525,2535,2545,2555,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop (UL),668,673,678,683,688,693,698,704,710,716,,,751,756,835,845,846.5,849,1855,1860,1865,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1720,1725,1730,1735,1740,1745,1755,1770,1775,1780,2020,2320,2510,2520,2530,2540,2550,2560,2570,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start (DL),617,622,627,632,637,642,647,728,734,740,716,722,777,782,869,880,890,891.5,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,2110,2120,2125,2130,2135,2140,2145,2155,2170,2175,2180,2345,2620,2630,2640,2650,2660,2670,2680,2570,2575,2585,2595,2605,2615,3450,3460,3470,3480,3490,3500,3510,3520,3530,3540,3550,3560,3570,3580,3590,3600,3610,3620,3630,3640,3650
Centre (DL),619.5,624.5,629.5,634.5,639.5,644.5,649.5,731,737,743,719,725,779.5,784.5,874.5,885,890.75,892.75,1932.5,1937.5,1942.5,1947.5,1952.5,1957.5,1962.5,1967.5,1972.5,1977.5,1982.5,1987.5,1992.5,2115,2122.5,2127.5,2132.5,2137.5,2142.5,2150,2162.5,2172.5,2177.5,2190,2352.5,2625,2635,2645,2655,2665,2675,2685,2572.5,2580,2590,2600,2610,2617.5,3455,3465,3475,3485,3495,3505,3515,3525,3535,3545,3555,3565,3575,3585,3595,3605,3615,3625,3635,3645,3675
Stop (DL),622,627,632,637,642,647,652,734,740,746,722,728,782,787,880,890,891.5,894,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2120,2125,2130,2135,2140,2145,2155,2170,2175,2180,2200,2360,2630,2640,2650,2660,2670,2680,2690,2575,2585,2595,2605,2615,2620,3460,3470,3480,3490,3500,3510,3520,3530,3540,3550,3560,3570,3580,3590,3600,3610,3620,3630,3640,3650,3700
DL Bandwidth,5,5,5,5,5,5,5,6,6,6,6,6,5,5,11,10,1.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,5,10,15,5,5,20,15,10,10,10,10,10,10,10,5,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25
Total Bandwidth,10,10,10,10,10,10,10,12,12,12,12,12,10,10,22,20,3,5,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,20,30,10,10,40,30,20,20,20,20,20,20,20,5,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25
Band-Block,B71-600-A,B71-600-B,B71-600-C,B71-600-D,B71-600-E,B71-600-F,B71-600-G,B12-700-A,B12-700-B,B12-700-C,B29-700-D,B29-700-E,B13-700-C1,B13-700-C2,B5-850-A,B5-850-B,B5-850-A2,B5-850-B2,B2-1900-A1,B2-1900-A2,B2-1900-A3,B2-1900-D,B2-1900-B1,B2-1900-B2,B2-1900-B3,B2-1900-E,B2-1900-F,B2-1900-C1,B2-1900-C2,B2-1900-C3,B2-1900-G,B4-2100-A,B4-2100-B1,B4-2100-B2,B4-2100-C,B4-2100-D,B4-2100-E,B4-2100-F,B4-2100-GHI,B4-2100-J1,B4-2100-J2,B66-2100-A,B30-2300-A,B7-2600-A,B7-2600-B,B7-2600-C,B7-2600-D,B7-2600-E,B7-2600-F,B7-2600-G,B38-2500-GB1,B38-2500-H1,B38-2500-H2,B38-2500-I1,B38-2500-I2,B38-2500-GB2,B78-3500-A,B78-3500-B,B78-3500-C,B78-3500-D,B78-3500-E,B78-3500-F,B78-3500-G,B78-3500-H,B78-3500-J,B78-3500-K,B78-3500-L,B78-3500-M,B78-3500-N,B78-3500-P,B78-3500-Q,B78-3500-R,B78-3500-S,B78-3500-T,B78-3500-U,B78-3500-V,
